,Date,Event,Race_Type,Finish,Start,Driver,Rookie
1814,2020-09-04, ,SK Modified Feature,19,23,Jeff Malave,
1808,2020-09-04, ,SK Modified Feature,13,19,Jonathan Smith,
1821,2020-09-04, ,SK Modified Feature,26,22,Tom Bolles,
1820,2020-09-04, ,SK Modified Feature,25,18,Teddy Hodgdon,R
1819,2020-09-04, ,SK Modified Feature,24,5,Mikey Flynn,R
1818,2020-09-04, ,SK Modified Feature,23,7,"Michael Christopher, Jr.",
1817,2020-09-04, ,SK Modified Feature,22,9,Andrew Molleur,
1816,2020-09-04, ,SK Modified Feature,21,3,Marcello Rufrano,
1815,2020-09-04, ,SK Modified Feature,20,25,"Michael Gervais, Jr.",
1813,2020-09-04, ,SK Modified Feature,18,16,Max Zachem,
1812,2020-09-04, ,SK Modified Feature,17,10,Todd Owen,
1811,2020-09-04, ,SK Modified Feature,16,24,Fran Siana,
1809,2020-09-04, ,SK Modified Feature,14,14,Stephen Kopcik,
1810,2020-09-04, ,SK Modified Feature,15,26,D.J. Burnham,
1807,2020-09-04, ,SK Modified Feature,12,6,"Tony Membrino, Jr.",
1801,2020-09-04, ,SK Modified Feature,6,15,Tyler Hines,
1796,2020-09-04, ,SK Modified Feature,1,11,Keith Rocco,
1797,2020-09-04, ,SK Modified Feature,2,8,Ronnie Williams,
1798,2020-09-04, ,SK Modified Feature,3,12,Cory DiMatteo,
1799,2020-09-04, ,SK Modified Feature,4,13,Chase Dowling,
1806,2020-09-04, ,SK Modified Feature,11,21,Troy Talman,
1800,2020-09-04, ,SK Modified Feature,5,4,Matt Vassar,
1802,2020-09-04, ,SK Modified Feature,7,20,Glen Reen,
1803,2020-09-04, ,SK Modified Feature,8,17,Tyler Leary,
1804,2020-09-04, ,SK Modified Feature,9,1,Bryan Narducci,R
1805,2020-09-04, ,SK Modified Feature,10,2,David Arute,
1839,2020-08-28, ,SK Modified Feature,18,20,Tom Bolles,
1844,2020-08-28, ,SK Modified Feature,23,9,Cory DiMatteo,
1840,2020-08-28, ,SK Modified Feature,19,21,Todd Patnode,
1841,2020-08-28, ,SK Modified Feature,20,25,Jonathan Smith,
1842,2020-08-28, ,SK Modified Feature,21,1,Bryan Narducci,R
1843,2020-08-28, ,SK Modified Feature,22,10,Todd Owen,
1824,2020-08-28, ,SK Modified Feature,3,11,Stephen Kopcik,
1845,2020-08-28, ,SK Modified Feature,24,18,David Arute,
1846,2020-08-28, ,SK Modified Feature,25,22,John Catania,
1847,2020-08-28, ,SK Modified Feature,26,24,Darin Renihan,
1822,2020-08-28, ,SK Modified Feature,1,5,Keith Rocco,
1823,2020-08-28, ,SK Modified Feature,2,12,Chase Dowling,
1837,2020-08-28, ,SK Modified Feature,16,17,Mikey Flynn,R
1838,2020-08-28, ,SK Modified Feature,17,8,Andrew Molleur,
1828,2020-08-28, ,SK Modified Feature,7,15,Glen Reen,
1836,2020-08-28, ,SK Modified Feature,15,16,Tyler Leary,
1830,2020-08-28, ,SK Modified Feature,9,2,Matt Vassar,
1835,2020-08-28, ,SK Modified Feature,14,3,Marcello Rufrano,
1826,2020-08-28, ,SK Modified Feature,5,26,"Michael Gervais, Jr.",
1827,2020-08-28, ,SK Modified Feature,6,4,"Tony Membrino, Jr.",
1829,2020-08-28, ,SK Modified Feature,8,19,Teddy Hodgdon,R
1825,2020-08-28, ,SK Modified Feature,4,6,Ronnie Williams,
1831,2020-08-28, ,SK Modified Feature,10,23,"Michael Christopher, Jr.",
1832,2020-08-28, ,SK Modified Feature,11,7,Troy Talman,
1833,2020-08-28, ,SK Modified Feature,12,13,Jeff Malave,
1834,2020-08-28, ,SK Modified Feature,13,14,Tyler Hines,
1861,2020-08-21, ,SK Modified Feature,14,4,Matt Vassar,
1871,2020-08-21, ,SK Modified Feature,24,7,"Michael Gervais, Jr.",
1870,2020-08-21, ,SK Modified Feature,23,24,Fran Siana,
1869,2020-08-21, ,SK Modified Feature,22,23,John Catania,
1868,2020-08-21, ,SK Modified Feature,21,18,Jeff Malave,
1867,2020-08-21, ,SK Modified Feature,20,1,Tyler Leary,
1866,2020-08-21, ,SK Modified Feature,19,21,Todd Patnode,
1865,2020-08-21, ,SK Modified Feature,18,2,David Arute,
1864,2020-08-21, ,SK Modified Feature,17,20,Matt Gallo,
1863,2020-08-21, ,SK Modified Feature,16,8,Marcello Rufrano,
1862,2020-08-21, ,SK Modified Feature,15,16,Bryan Narducci,R
1855,2020-08-21, ,SK Modified Feature,8,13,"Michael Christopher, Jr.",
1860,2020-08-21, ,SK Modified Feature,13,19,Tyler Hines,
1853,2020-08-21, ,SK Modified Feature,6,17,Chase Dowling,
1859,2020-08-21, ,SK Modified Feature,12,15,Cory DiMatteo,
1850,2020-08-21, ,SK Modified Feature,3,10,Keith Rocco,
1851,2020-08-21, ,SK Modified Feature,4,11,Ronnie Williams,
1852,2020-08-21, ,SK Modified Feature,5,5,"Tony Membrino, Jr.",
1849,2020-08-21, ,SK Modified Feature,2,6,Andrew Molleur,
1854,2020-08-21, ,SK Modified Feature,7,3,Mikey Flynn,R
1848,2020-08-21, ,SK Modified Feature,1,14,Todd Owen,
1856,2020-08-21, ,SK Modified Feature,9,9,Troy Talman,
1857,2020-08-21, ,SK Modified Feature,10,22,Glen Reen,
1858,2020-08-21, ,SK Modified Feature,11,12,Teddy Hodgdon,R
1885,2020-08-14, ,SK Modified Feature,14,13,Matt Gallo,
1896,2020-08-14, ,SK Modified Feature,25,26,Matt Vassar,
1895,2020-08-14, ,SK Modified Feature,24,19,Tom Bolles,
1894,2020-08-14, ,SK Modified Feature,23,17,Darin Renihan,
1893,2020-08-14, ,SK Modified Feature,22,21,Bryan Narducci,R
1892,2020-08-14, ,SK Modified Feature,21,20,Fran Siana,
1891,2020-08-14, ,SK Modified Feature,20,24,Todd Patnode,
1890,2020-08-14, ,SK Modified Feature,19,16,Mikey Flynn,R
1889,2020-08-14, ,SK Modified Feature,18,11,Jeff Malave,
1888,2020-08-14, ,SK Modified Feature,17,1,Tyler Leary,
1886,2020-08-14, ,SK Modified Feature,15,7,Marcello Rufrano,
1887,2020-08-14, ,SK Modified Feature,16,12,Tyler Hines,
1884,2020-08-14, ,SK Modified Feature,13,22,Teddy Hodgdon,R
1877,2020-08-14, ,SK Modified Feature,6,18,Ronnie Williams,
1872,2020-08-14, ,SK Modified Feature,1,15,Chase Dowling,
1883,2020-08-14, ,SK Modified Feature,12,2,David Arute,
1873,2020-08-14, ,SK Modified Feature,2,3,Troy Talman,
1875,2020-08-14, ,SK Modified Feature,4,6,Stephen Kopcik,
1876,2020-08-14, ,SK Modified Feature,5,4,Andrew Molleur,
1874,2020-08-14, ,SK Modified Feature,3,8,"Michael Christopher, Jr.",
1878,2020-08-14, ,SK Modified Feature,7,9,Keith Rocco,
1879,2020-08-14, ,SK Modified Feature,8,10,Todd Owen,
1880,2020-08-14, ,SK Modified Feature,9,14,Glen Reen,
1881,2020-08-14, ,SK Modified Feature,10,23,"Tony Membrino, Jr.",
1882,2020-08-14, ,SK Modified Feature,11,5,"Michael Gervais, Jr.",
1905,2020-08-08, NAPA ,SK Modified Feature,9,5,"Michael Gervais, Jr.",
1911,2020-08-08, NAPA ,SK Modified Feature,15,16,Tom Bolles,
1910,2020-08-08, NAPA ,SK Modified Feature,14,26,David Arute,
1909,2020-08-08, NAPA ,SK Modified Feature,13,21,Kenny Horton,
1908,2020-08-08, NAPA ,SK Modified Feature,12,18,Andrew Molleur,
1907,2020-08-08, NAPA ,SK Modified Feature,11,17,Teddy Hodgdon,R
1913,2020-08-08, NAPA ,SK Modified Feature,17,19,Jeff Malave,
1899,2020-08-08, NAPA ,SK Modified Feature,3,6,"Michael Christopher, Jr.",
1904,2020-08-08, NAPA ,SK Modified Feature,8,25,"Tony Membrino, Jr.",
1903,2020-08-08, NAPA ,SK Modified Feature,7,20,Noah Korner,R
1902,2020-08-08, NAPA ,SK Modified Feature,6,9,Keith Rocco,
1901,2020-08-08, NAPA ,SK Modified Feature,5,2,Marcello Rufrano,
1900,2020-08-08, NAPA ,SK Modified Feature,4,8,Ronnie Williams,
1898,2020-08-08, NAPA ,SK Modified Feature,2,7,Todd Owen,
1897,2020-08-08, NAPA ,SK Modified Feature,1,13,Chase Dowling,
1912,2020-08-08, NAPA ,SK Modified Feature,16,4,Stephen Kopcik,
1906,2020-08-08, NAPA ,SK Modified Feature,10,1,Matt Vassar,
1914,2020-08-08, NAPA ,SK Modified Feature,18,23,John Catania,
1916,2020-08-08, NAPA ,SK Modified Feature,20,10,Woody Pitkat,
1917,2020-08-08, NAPA ,SK Modified Feature,21,24,Fran Siana,
1918,2020-08-08, NAPA ,SK Modified Feature,22,12,Tyler Hines,
1919,2020-08-08, NAPA ,SK Modified Feature,23,22,Bryan Narducci,R
1920,2020-08-08, NAPA ,SK Modified Feature,24,3,Troy Talman,
1921,2020-08-08, NAPA ,SK Modified Feature,25,214,Glen Reen,
1922,2020-08-08, NAPA ,SK Modified Feature,26,11,Dan Wesson,
1923,2020-08-08, NAPA ,SK Modified Feature,27,27,Tyler Leary,
1915,2020-08-08, NAPA ,SK Modified Feature,19,15,Max Zachem,
1943,2020-07-31, ,SK Modified Feature,20,3,Andrew Molleur,
1939,2020-07-31, ,SK Modified Feature,16,7,"Tony Membrino, Jr.",
1940,2020-07-31, ,SK Modified Feature,17,18,Matt Gallo,
1941,2020-07-31, ,SK Modified Feature,18,24,Jonathan Smith,
1942,2020-07-31, ,SK Modified Feature,19,6,David Arute,
1948,2020-07-31, ,SK Modified Feature,25,23,John Catania,
1944,2020-07-31, ,SK Modified Feature,21,4,Troy Talman,
1945,2020-07-31, ,SK Modified Feature,22,9,"Michael Christopher, Jr.",
1946,2020-07-31, ,SK Modified Feature,23,10,Stephen Kopcik,
1947,2020-07-31, ,SK Modified Feature,24,16,Jeff Malave,
1937,2020-07-31, ,SK Modified Feature,14,25,Todd Patnode,
1938,2020-07-31, ,SK Modified Feature,15,15,Dan Wesson,
1927,2020-07-31, ,SK Modified Feature,4,11,Ronnie Williams,
1936,2020-07-31, ,SK Modified Feature,13,20,Tyler Hines,
1929,2020-07-31, ,SK Modified Feature,6,17,Mikey Flynn,R
1935,2020-07-31, ,SK Modified Feature,12,21,Bryan Narducci,R
1924,2020-07-31, ,SK Modified Feature,1,5,Cory DiMatteo,
1925,2020-07-31, ,SK Modified Feature,2,1,Teddy Hodgdon,R
1926,2020-07-31, ,SK Modified Feature,3,13,Keith Rocco,
1928,2020-07-31, ,SK Modified Feature,5,14,Marcello Rufrano,
1930,2020-07-31, ,SK Modified Feature,7,12,Todd Owen,
1931,2020-07-31, ,SK Modified Feature,8,2,Matt Vassar,
1932,2020-07-31, ,SK Modified Feature,9,8,"Michael Gervais, Jr.",
1933,2020-07-31, ,SK Modified Feature,10,19,Noah Korner,R
1934,2020-07-31, ,SK Modified Feature,11,22,Tyler Leary,
1969,2020-07-24, ,SK Modified Feature,21,3,Matt Vassar,
1965,2020-07-24, ,SK Modified Feature,17,6,Mikey Flynn,R
1966,2020-07-24, ,SK Modified Feature,18,16,Matt Gallo,
1967,2020-07-24, ,SK Modified Feature,19,15,Dan Wesson,
1968,2020-07-24, ,SK Modified Feature,20,22,Jeff Malave,
1974,2020-07-24, ,SK Modified Feature,26,26,Marc Burke,R
1970,2020-07-24, ,SK Modified Feature,22,21,Teddy Hodgdon,R
1972,2020-07-24, ,SK Modified Feature,24,27,Nick Giardina,R
1973,2020-07-24, ,SK Modified Feature,25,24,Tom Bolles,
1963,2020-07-24, ,SK Modified Feature,15,25,Tyler Leary,
1975,2020-07-24, ,SK Modified Feature,27,19,John Catania,
1964,2020-07-24, ,SK Modified Feature,16,23,Tyler Hines,
1971,2020-07-24, ,SK Modified Feature,23,17,Jonathan Smith,
1962,2020-07-24, ,SK Modified Feature,14,1,Bryan Narducci,R
1953,2020-07-24, ,SK Modified Feature,5,11,Keith Rocco,
1961,2020-07-24, ,SK Modified Feature,13,20,David Arute,
1949,2020-07-24, ,SK Modified Feature,1,7,Ronnie Williams,
1950,2020-07-24, ,SK Modified Feature,2,10,Todd Owen,
1951,2020-07-24, ,SK Modified Feature,3,8,Stephen Kopcik,
1952,2020-07-24, ,SK Modified Feature,4,9,"Michael Christopher, Jr.",
1959,2020-07-24, ,SK Modified Feature,11,13,Todd Patnode,
1954,2020-07-24, ,SK Modified Feature,6,14,Andrew Molleur,
1956,2020-07-24, ,SK Modified Feature,8,4,Cory DiMatteo,
1957,2020-07-24, ,SK Modified Feature,9,5,"Tony Membrino, Jr.",
1958,2020-07-24, ,SK Modified Feature,10,18,"Michael Gervais, Jr.",
1955,2020-07-24, ,SK Modified Feature,7,2,Troy Talman,
1960,2020-07-24, ,SK Modified Feature,12,12,Marcello Rufrano,
1996,2020-07-17, ,SK Modified Feature,21,21,Tyler Hines,
1992,2020-07-17, ,SK Modified Feature,17,1,Glen Reen,
1993,2020-07-17, ,SK Modified Feature,18,12,Andrew Molleur,
1994,2020-07-17, ,SK Modified Feature,19,7,Ronnie Williams,
1995,2020-07-17, ,SK Modified Feature,20,24,Todd Patnode,
1998,2020-07-17, ,SK Modified Feature,23,27,John Catania,
1997,2020-07-17, ,SK Modified Feature,22,5,Matt Vassar,
1990,2020-07-17, ,SK Modified Feature,15,20,Jonathan Smith,
1999,2020-07-17, ,SK Modified Feature,24,8,Marcello Rufrano,
2000,2020-07-17, ,SK Modified Feature,25,14,Chase Dowling,
2001,2020-07-17, ,SK Modified Feature,26,18,Stephen Kopcik,
2002,2020-07-17, ,SK Modified Feature,27,9,Dan Wesson,
1991,2020-07-17, ,SK Modified Feature,16,19,Jeff Malave,
1987,2020-07-17, ,SK Modified Feature,12,2,Teddy Hodgdon,R
1989,2020-07-17, ,SK Modified Feature,14,22,Bryan Narducci,R
1988,2020-07-17, ,SK Modified Feature,13,15,Matt Gallo,
1986,2020-07-17, ,SK Modified Feature,11,21,Tyler Leary,
1985,2020-07-17, ,SK Modified Feature,10,25,Mikey Flynn,R
1984,2020-07-17, ,SK Modified Feature,9,23,Troy Talman,
1982,2020-07-17, ,SK Modified Feature,7,3,"Tony Membrino, Jr.",
1981,2020-07-17, ,SK Modified Feature,6,11,Cory DiMatteo,
1980,2020-07-17, ,SK Modified Feature,5,16,Todd Owen,
1979,2020-07-17, ,SK Modified Feature,4,13,"Michael Gervais, Jr.",
1978,2020-07-17, ,SK Modified Feature,3,4,"Michael Christopher, Jr.",
1977,2020-07-17, ,SK Modified Feature,2,6,Woody Pitkat,
1976,2020-07-17, ,SK Modified Feature,1,17,Keith Rocco,
1983,2020-07-17, ,SK Modified Feature,8,26,David Arute,
2029,2020-06-26, ,SK Modified Feature,27,10,Dan Wesson,
2022,2020-06-26, ,SK Modified Feature,20,11,"Michael Gervais, Jr.",
2016,2020-06-26, ,SK Modified Feature,14,26,Tyler Leary,
2028,2020-06-26, ,SK Modified Feature,26,8,Tyler Hines,
2027,2020-06-26, ,SK Modified Feature,25,6,Cory DiMatteo,
2026,2020-06-26, ,SK Modified Feature,24,27,John Catania,
2025,2020-06-26, ,SK Modified Feature,23,18,Troy Talman,
2024,2020-06-26, ,SK Modified Feature,22,9,Andrew Molleur,
2023,2020-06-26, ,SK Modified Feature,21,21,Tom Bolles,
2003,2020-06-26, ,SK Modified Feature,1,5,Keith Rocco,
2021,2020-06-26, ,SK Modified Feature,19,3,Chase Dowling,
2020,2020-06-26, ,SK Modified Feature,18,24,Anthony Flannery,
2019,2020-06-26, ,SK Modified Feature,17,13,Jeff Malave,
2017,2020-06-26, ,SK Modified Feature,15,14,Glen Reen,
2018,2020-06-26, ,SK Modified Feature,16,23,Jonathan Smith,
2015,2020-06-26, ,SK Modified Feature,13,17,Teddy Hodgdon,R
2009,2020-06-26, ,SK Modified Feature,7,25,David Arute,
2004,2020-06-26, ,SK Modified Feature,2,2,Todd Owen,
2005,2020-06-26, ,SK Modified Feature,3,12,Stephen Kopcik,
2006,2020-06-26, ,SK Modified Feature,4,1,Ronnie Williams,
2014,2020-06-26, ,SK Modified Feature,12,20,Bryan Narducci,R
2008,2020-06-26, ,SK Modified Feature,6,22,Mikey Flynn,R
2007,2020-06-26, ,SK Modified Feature,5,7,Woody Pitkat,
2010,2020-06-26, ,SK Modified Feature,8,15,Matt Vassar,
2011,2020-06-26, ,SK Modified Feature,9,4,"Michael Christopher, Jr.",
2012,2020-06-26, ,SK Modified Feature,10,19,"Joey Ternullo, Jr.",
2013,2020-06-26, ,SK Modified Feature,11,16,"Tony Membrino, Jr.",
1308,2019-09-29, NAPA Fall Final ,SK Modified Feature,21,26,Troy Talman,
1303,2019-09-29, NAPA Fall Final ,SK Modified Feature,16,27,Ed Spiers,
1304,2019-09-29, NAPA Fall Final ,SK Modified Feature,17,23,Mike Christopher,
1305,2019-09-29, NAPA Fall Final ,SK Modified Feature,18,24,Mikey Flynn,R
1306,2019-09-29, NAPA Fall Final ,SK Modified Feature,19,25,Tyler Leary,
1307,2019-09-29, NAPA Fall Final ,SK Modified Feature,20,2,Tyler Hines,
1301,2019-09-29, NAPA Fall Final ,SK Modified Feature,14,21,David Arute,
1309,2019-09-29, NAPA Fall Final ,SK Modified Feature,22,22,Shawn Thibeault,
1310,2019-09-29, NAPA Fall Final ,SK Modified Feature,23,13,"Joey Ternullo, Jr.",R
1311,2019-09-29, NAPA Fall Final ,SK Modified Feature,24,3,"Joey Cipriano, III",
1312,2019-09-29, NAPA Fall Final ,SK Modified Feature,25,5,Andrew Molleur,R
1313,2019-09-29, NAPA Fall Final ,SK Modified Feature,26,15,Matt Vassar,
1314,2019-09-29, NAPA Fall Final ,SK Modified Feature,27,19,Curt Brainard,
1302,2019-09-29, NAPA Fall Final ,SK Modified Feature,15,14,Chase Dowling,
1297,2019-09-29, NAPA Fall Final ,SK Modified Feature,10,6,"Michael Christopher, Jr.",
1300,2019-09-29, NAPA Fall Final ,SK Modified Feature,13,4,"Tony Membrino, Jr.",
1293,2019-09-29, NAPA Fall Final ,SK Modified Feature,6,20,Glen Reen,
1289,2019-09-29, NAPA Fall Final ,SK Modified Feature,2,18,Stephen Kopcik,
1290,2019-09-29, NAPA Fall Final ,SK Modified Feature,3,11,Keith Rocco,
1291,2019-09-29, NAPA Fall Final ,SK Modified Feature,4,8,Ronnie Williams,
1292,2019-09-29, NAPA Fall Final ,SK Modified Feature,5,7,"Michael Gervais, Jr.",
1288,2019-09-29, NAPA Fall Final ,SK Modified Feature,1,9,Todd Owen,
1294,2019-09-29, NAPA Fall Final ,SK Modified Feature,7,12,Dan Avery,
1296,2019-09-29, NAPA Fall Final ,SK Modified Feature,9,16,Timmy Jordan,
1299,2019-09-29, NAPA Fall Final ,SK Modified Feature,12,17,Anthony Flannery,
1298,2019-09-29, NAPA Fall Final ,SK Modified Feature,11,10,Cory DiMatteo,
1295,2019-09-29, NAPA Fall Final ,SK Modified Feature,8,1,Marcello Rufrano,R
1333,2019-09-13, ,SK Modified Feature,19,19,Kyle Armstrong,R
1329,2019-09-13, ,SK Modified Feature,15,21,Ed Spiers,
1330,2019-09-13, ,SK Modified Feature,16,20,John Catania,
1331,2019-09-13, ,SK Modified Feature,17,22,Nick Giardina,R
1332,2019-09-13, ,SK Modified Feature,18,23,Patrick Yuhas,R
1336,2019-09-13, ,SK Modified Feature,22,15,Dan Avery,
1334,2019-09-13, ,SK Modified Feature,20,24,Fran Siana,
1335,2019-09-13, ,SK Modified Feature,21,2,Marcello Rufrano,R
1337,2019-09-13, ,SK Modified Feature,23,14,Anthony Nocella,
1338,2019-09-13, ,SK Modified Feature,24,10,"Michael Christopher, Jr.",
1327,2019-09-13, ,SK Modified Feature,13,4,"Joey Cipriano, III",
1328,2019-09-13, ,SK Modified Feature,14,3,Tyler Hines,
1325,2019-09-13, ,SK Modified Feature,11,1,Tyler Leary,R
1326,2019-09-13, ,SK Modified Feature,12,25,Curt Brainard,
1320,2019-09-13, ,SK Modified Feature,6,6,Glen Reen,
1315,2019-09-13, ,SK Modified Feature,1,8,Stephen Kopcik,
1317,2019-09-13, ,SK Modified Feature,3,12,Ronnie Williams,
1318,2019-09-13, ,SK Modified Feature,4,13,Keith Rocco,
1319,2019-09-13, ,SK Modified Feature,5,11,"Michael Gervais, Jr.",
1316,2019-09-13, ,SK Modified Feature,2,9,Todd Owen,
1321,2019-09-13, ,SK Modified Feature,7,17,"Joey Ternullo, Jr.",R
1322,2019-09-13, ,SK Modified Feature,8,5,Andrew Molleur,R
1323,2019-09-13, ,SK Modified Feature,9,7,"Tony Membrino, Jr.",
1324,2019-09-13, ,SK Modified Feature,10,18,David Arute,
1349,2019-08-30, ,SK Modified Feature,11,5,Andrew Molleur,
1358,2019-08-30, ,SK Modified Feature,20,9,Marcello Rufrano,R
1357,2019-08-30, ,SK Modified Feature,19,11,Stephen Kopcik,
1356,2019-08-30, ,SK Modified Feature,18,8,Glen Reen,
1355,2019-08-30, ,SK Modified Feature,17,3,Cory DiMatteo,
1354,2019-08-30, ,SK Modified Feature,16,20,Anthony Nocella,
1353,2019-08-30, ,SK Modified Feature,15,18,John Catania,
1352,2019-08-30, ,SK Modified Feature,14,4,Tyler Hines,
1351,2019-08-30, ,SK Modified Feature,13,17,Ed Spiers,
1350,2019-08-30, ,SK Modified Feature,12,16,Tyler Leary,R
1359,2019-08-30, ,SK Modified Feature,21,19,Dan Avery,
1348,2019-08-30, ,SK Modified Feature,10,21,Todd Patnode,
1342,2019-08-30, ,SK Modified Feature,4,10,Todd Owen,
1339,2019-08-30, ,SK Modified Feature,1,14,Keith Rocco,
1340,2019-08-30, ,SK Modified Feature,2,15,Ronnie Williams,
1341,2019-08-30, ,SK Modified Feature,3,12,"Michael Gervais, Jr.",
1347,2019-08-30, ,SK Modified Feature,9,13,"Michael Christopher, Jr.",
1343,2019-08-30, ,SK Modified Feature,5,1,Troy Talman,
1344,2019-08-30, ,SK Modified Feature,6,7,David Arute,
1345,2019-08-30, ,SK Modified Feature,7,6,"Tony Membrino, Jr.",
1346,2019-08-30, ,SK Modified Feature,8,2,"Joey Cipriano, III",
1383,2019-08-23, ,SK Modified Feature,24,10,Marcello Rufrano,R
1371,2019-08-23, ,SK Modified Feature,12,3,Tyler Hines,
1381,2019-08-23, ,SK Modified Feature,22,19,David Arute,
1380,2019-08-23, ,SK Modified Feature,21,20,Nick Giardina,R
1379,2019-08-23, ,SK Modified Feature,20,24,Anthony Nocella,
1378,2019-08-23, ,SK Modified Feature,19,22,John Catania,
1377,2019-08-23, ,SK Modified Feature,18,17,Eric Berndt,
1376,2019-08-23, ,SK Modified Feature,17,23,"Joey Ternullo, Jr.",R
1375,2019-08-23, ,SK Modified Feature,16,18,Todd Patnode,R
1374,2019-08-23, ,SK Modified Feature,15,5,Andrew Molleur,R
1373,2019-08-23, ,SK Modified Feature,14,1,Tyler Leary,R
1372,2019-08-23, ,SK Modified Feature,13,15,Ed Spiers,
1382,2019-08-23, ,SK Modified Feature,23,25,Rob Goulet,
1370,2019-08-23, ,SK Modified Feature,11,2,Troy Talman,
1368,2019-08-23, ,SK Modified Feature,9,4,"Tony Membrino, Jr.",
1367,2019-08-23, ,SK Modified Feature,8,21,Chase Dowling,
1366,2019-08-23, ,SK Modified Feature,7,16,Glen Reen,
1365,2019-08-23, ,SK Modified Feature,6,14,Ronnie Williams,
1364,2019-08-23, ,SK Modified Feature,5,8,Stephen Kopcik,
1363,2019-08-23, ,SK Modified Feature,4,9,"Michael Gervais, Jr.",
1362,2019-08-23, ,SK Modified Feature,3,6,Todd Owen,
1361,2019-08-23, ,SK Modified Feature,2,11,"Michael Christopher, Jr.",
1360,2019-08-23, ,SK Modified Feature,1,13,Keith Rocco,
1369,2019-08-23, ,SK Modified Feature,10,12,"Joey Cipriano, III",
1400,2019-08-16, ,SK Modified Feature,17,19,Tyler Jones,R
1396,2019-08-16, ,SK Modified Feature,13,14,"Joey Cipriano, III",
1397,2019-08-16, ,SK Modified Feature,14,17,Troy Talman,
1398,2019-08-16, ,SK Modified Feature,15,16,Matt Galko,
1399,2019-08-16, ,SK Modified Feature,16,22,John Catania,
1405,2019-08-16, ,SK Modified Feature,22,18,Tyler Leary,
1401,2019-08-16, ,SK Modified Feature,18,21,Anthony Nocella,
1402,2019-08-16, ,SK Modified Feature,19,9,Eric Berndt,
1403,2019-08-16, ,SK Modified Feature,20,6,Andrew Molleur,R
1404,2019-08-16, ,SK Modified Feature,21,3,Dan Wesson,
1395,2019-08-16, ,SK Modified Feature,12,20,Glen Reen,
1394,2019-08-16, ,SK Modified Feature,11,2,Tyler Hines,
1393,2019-08-16, ,SK Modified Feature,10,4,David Arute,
1391,2019-08-16, ,SK Modified Feature,8,13,"Michael Christopher, Jr.",
1390,2019-08-16, ,SK Modified Feature,7,1,"Tony Membrino, Jr.",
1389,2019-08-16, ,SK Modified Feature,6,11,Todd Owen,
1388,2019-08-16, ,SK Modified Feature,5,10,Cory DiMatteo,
1387,2019-08-16, ,SK Modified Feature,4,7,"Michael Gervais, Jr.",
1386,2019-08-16, ,SK Modified Feature,3,5,Stephen Kopcik,
1385,2019-08-16, ,SK Modified Feature,2,12,Keith Rocco,
1384,2019-08-16, ,SK Modified Feature,1,15,Ronnie Williams,
1392,2019-08-16, ,SK Modified Feature,9,8,Marcello Rufrano,R
1422,2019-08-09, ,SK Modified Feature,17,14,Troy Talman,
1418,2019-08-09, ,SK Modified Feature,13,12,"Joey Cipriano, III",
1419,2019-08-09, ,SK Modified Feature,14,22,Tyler Leary,
1420,2019-08-09, ,SK Modified Feature,15,23,Joe Gada,R
1427,2019-08-09, ,SK Modified Feature,22,11,Todd Owen,
1416,2019-08-09, ,SK Modified Feature,11,20,"Joey Ternullo, Jr.",R
1423,2019-08-09, ,SK Modified Feature,18,16,Matt Galko,
1424,2019-08-09, ,SK Modified Feature,19,19,Anthony Nocella,
1425,2019-08-09, ,SK Modified Feature,20,18,"Tony Membrino, Jr.",
1426,2019-08-09, ,SK Modified Feature,21,6,Eric Berndt,
1417,2019-08-09, ,SK Modified Feature,12,5,Cory DiMatteo,
1421,2019-08-09, ,SK Modified Feature,16,15,Dan Wesson,
1415,2019-08-09, ,SK Modified Feature,10,8,Stephen Kopcik,
1409,2019-08-09, ,SK Modified Feature,4,1,David Arute,
1406,2019-08-09, ,SK Modified Feature,1,13,Ronnie Williams,
1407,2019-08-09, ,SK Modified Feature,2,4,"Michael Christopher, Jr.",
1408,2019-08-09, ,SK Modified Feature,3,3,Marcello Rufrano,R
1414,2019-08-09, ,SK Modified Feature,9,17,Andrew Molleur,R
1410,2019-08-09, ,SK Modified Feature,5,9,Glen Reen,
1412,2019-08-09, ,SK Modified Feature,7,7,"Michael Gervais, Jr.",
1413,2019-08-09, ,SK Modified Feature,8,2,Tyler Hines,
1411,2019-08-09, ,SK Modified Feature,6,10,Keith Rocco,
1436,2019-08-02, ,SK Modified Feature,9,5,Andrew Molleur,R
1445,2019-08-02, ,SK Modified Feature,18,1,David Arute,
1444,2019-08-02, ,SK Modified Feature,17,14,Stephen Kopcik,
1443,2019-08-02, ,SK Modified Feature,16,3,Matt Galko,
1442,2019-08-02, ,SK Modified Feature,15,16,Dan Wesson,
1441,2019-08-02, ,SK Modified Feature,14,18,Troy Talman,
1439,2019-08-02, ,SK Modified Feature,12,2,Tyler Hines,
1438,2019-08-02, ,SK Modified Feature,11,6,Marcello Rufrano,R
1437,2019-08-02, ,SK Modified Feature,10,10,"Michael Gervais, Jr.",
1440,2019-08-02, ,SK Modified Feature,13,7,Tyler Leary,R
1435,2019-08-02, ,SK Modified Feature,8,17,"Tony Membrino, Jr.",
1433,2019-08-02, ,SK Modified Feature,6,15,Ronnie Williams,
1432,2019-08-02, ,SK Modified Feature,5,9,Cory DiMatteo,
